|   type | thread_id |                       thread_id |
|      2 |      9797 |                               1 |
|      0 |      9993 |                               4 |
|      2 |      9993 |                               2 |
|      3 |      9993 |                               4 |
|      0 |     10031 |                               2 |
|      4 |     10031 |                               1 |
|      0 |     10124 |                               1 |
|      3 |     10124 |                               2 |
|      0 |     10186 |                               3 |
|      2 |     10186 |                               1 |
|      3 |     10186 |                               2 |
|      0 |     10523 |                               1 |
|      3 |     10523 |                               2 |
|      8 |     10523 |                               1 |
|      0 |     10632 |                               3 |
|      3 |     10632 |                               2 |
|      3 |     10722 |                               1 |
|      0 |     10748 |                              28 |
|      4 |     10748 |                               1 |
|      0 |     10800 |                               2 |
|      3 |     10800 |                               5 |
|      3 |     10801 |                               2 |
|      0 |     10915 |                               2 |
|      0 |     11284 |                               3 |
|      3 |     11284 |                               1 |
|      2 |     11581 |                               1 |
|      0 |     11753 |                               1 |
|      0 |     12008 |                               1 |
|      0 |     12055 |                               2 |
|      3 |     12055 |                               3 |
|      4 |     12055 |                               1 |
|      6 |     12055 |                               1 |
|      3 |     12073 |                               2 |
|      0 |     12137 |                               2 |
|      2 |     12137 |                               1 |
|      3 |     12137 |                               1 |
|      0 |     12306 |                               1 |
|      3 |     12306 |                               2 |
|      0 |     12363 |                               3 |
|      1 |     12363 |                               1 |
|      3 |     12363 |                               3 |
|      0 |     12421 |                               1 |
|      0 |     12443 |                               2 |
|      3 |     12443 |                               2 |
|      4 |     12443 |                               1 |
|      0 |     12462 |                               5 |
|      3 |     12462 |                               3 |
|      5 |     12462 |                               1 |
|      0 |     13285 |                               2 |
|      3 |     13285 |                               1 |
|      0 |     13467 |                               2 |
|      0 |     13474 |                               2 |
|      2 |     13474 |                               2 |
|      3 |     13474 |                               1 |
